location name,latitude,longitude,start year,end time,title,description
Site_710,34.96017158,29.7684146,-10000,-5800,Cultic,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1500,-1200,Cultic,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1200,-1000,Cultic,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-10000,-5800,Burial,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1500,-1200,Burial,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1200,-1000,Burial,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-10000,-5800,Petroglyph,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1500,-1200,Petroglyph,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1200,-1000,Petroglyph,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-10000,-5800,Unknown,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1500,-1200,Unknown,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1200,-1000,Unknown,https://timna-database.wikibase.cloud/entity/Q655
Site_022,34.92745837,29.78245022,-10000,-5800,Mining_Shaft,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-5800,-3600,Mining_Shaft,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-3600,-2000,Mining_Shaft,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-1500,-1200,Mining_Shaft,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-1200,-1000,Mining_Shaft,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-10000,-5800,Mining,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-5800,-3600,Mining,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-3600,-2000,Mining,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-1500,-1200,Mining,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-1200,-1000,Mining,https://timna-database.wikibase.cloud/entity/Q562
Site_710,34.96017158,29.7684146,-10000,-5800,Pottery_Scatter,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1500,-1200,Pottery_Scatter,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1200,-1000,Pottery_Scatter,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-10000,-5800,Flint_Scatter,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1500,-1200,Flint_Scatter,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1200,-1000,Flint_Scatter,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-10000,-5800,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1500,-1200,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1200,-1000,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-10000,-5800,Unknown,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1500,-1200,Unknown,https://timna-database.wikibase.cloud/entity/Q655
Site_710,34.96017158,29.7684146,-1200,-1000,Unknown,https://timna-database.wikibase.cloud/entity/Q655
Site_022,34.92745837,29.78245022,-10000,-5800,Mining_Field,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-5800,-3600,Mining_Field,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-3600,-2000,Mining_Field,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-1500,-1200,Mining_Field,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-1200,-1000,Mining_Field,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-10000,-5800,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-5800,-3600,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-3600,-2000,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-1500,-1200,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q562
Site_022,34.92745837,29.78245022,-1200,-1000,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q562
Site_023,34.92878794,29.78786567,-1500,-1200,Mining_Field,https://timna-database.wikibase.cloud/entity/Q554
Site_023,34.92878794,29.78786567,-1200,-1000,Mining_Field,https://timna-database.wikibase.cloud/entity/Q554
Site_023,34.92878794,29.78786567,-1500,-1200,Mining_Shaft,https://timna-database.wikibase.cloud/entity/Q554
Site_023,34.92878794,29.78786567,-1200,-1000,Mining_Shaft,https://timna-database.wikibase.cloud/entity/Q554
Site_023,34.92878794,29.78786567,-1500,-1200,Mining,https://timna-database.wikibase.cloud/entity/Q554
Site_023,34.92878794,29.78786567,-1200,-1000,Mining,https://timna-database.wikibase.cloud/entity/Q554
Site_761,34.93010148,29.78403442,-5800,-3600,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q704
Site_761,34.93010148,29.78403442,-3600,-2000,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q704
Site_761,34.93010148,29.78403442,-1500,-1200,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q704
Site_761,34.93010148,29.78403442,-1200,-1000,Stone_Feature,https://timna-database.wikibase.cloud/entity/Q704
Site_640,34.95482486,29.77295129,-1500,-1200,Cairn,https://timna-database.wikibase.cloud/entity/Q640
Site_640,34.95482486,29.77295129,-1200,-1000,Cairn,https://timna-database.wikibase.cloud/entity/Q640
Site_200,34.95638847,29.76786629,-5800,-3600,Shrine,https://timna-database.wikibase.cloud/entity/Q588
Site_200,34.95638847,29.76786629,-1500,-1200,Shrine,https://timna-database.wikibase.cloud/entity/Q588
Site_200,34.95638847,29.76786629,-1200,-1000,Shrine,https://timna-database.wikibase.cloud/entity/Q588
Site_200,34.95638847,29.76786629,-37,324,Shrine,https://timna-database.wikibase.cloud/entity/Q588
Site_087,34.96081381,29.79785179,-37,324,Mining,https://timna-database.wikibase.cloud/entity/Q571
Site_087,34.96081381,29.79785179,638,1099,Mining,https://timna-database.wikibase.cloud/entity/Q571
Site_640,34.95482486,29.77295129,-1500,-1200,Burial,https://timna-database.wikibase.cloud/entity/Q640
Site_640,34.95482486,29.77295129,-1200,-1000,Burial,https://timna-database.wikibase.cloud/entity/Q640
Site_761,34.93010148,29.78403442,-5800,-3600,Mining_Field,https://timna-database.wikibase.cloud/entity/Q704
Site_761,34.93010148,29.78403442,-3600,-2000,Mining_Field,https://timna-database.wikibase.cloud/entity/Q704
